num,wd,jd,year,ave,max,min,rise,drop
7461,3070,11108,1970,167,387,-56,12,15
7461,3070,11108,1971,165,404,-16,17,19
7461,3070,11108,1972,167,402,-37,9,16
7461,3070,11108,1973,168,362,-23,8,15
7461,3070,11108,1974,167,399,-41,14,16
7461,3070,11108,1975,169,384,-33,9,16
7461,3070,11108,1976,164,380,-43,9,16
7461,3070,11108,1977,172,386,-98,12,15
7461,3070,11108,1978,175,398,-23,17,23
7461,3070,11108,1979,173,368,-25,16,20
7461,3070,11108,1980,164,377,-33,17,22
7461,3070,11130,1981,168,384,-21,13,19
7461,3070,11130,1982,165,380,-34,14,18
7461,3070,11130,1983,169,383,-24,11,17
7461,3070,11130,1984,162,363,-46,13,17
7461,3070,11130,1985,165,386,-32,14,17
7461,3070,11130,1986,169,380,-14,15,21
7461,3070,11130,1987,168,369,-13,17,22
7461,3070,11130,1988,170,394,-13,13,23
7461,3070,11130,1989,162,385,-20,13,15
7461,3070,11130,1990,174,400,-31,13,14
7461,3070,11130,1991,166,394,-53,8,15
7461,3070,11130,1992,169,382,-18,16,16
7461,3070,11130,1993,163,379,-41,21,20
7461,3070,11130,1994,172,392,-15,14,15
7461,3070,11130,1995,172,392,-18,13,15
7461,3070,11130,1996,164,364,-31,8,15
7461,3070,11130,1997,173,381,-30,9,17
7461,3070,11130,1998,179,376,-22,12,19
7461,3070,11130,1999,177,391,-34,15,18
7461,3070,11130,2000,171,382,-27,10,18
7461,3070,11130,2001,176,384,-13,12,15
7461,3070,11130,2002,175,385,-25,12,20
7461,3070,11130,2003,168,398,-25,13,15
7461,3070,11130,2004,178,392,-24,14,17
7461,3070,11130,2005,175,398,-19,13,17
7461,3070,11130,2006,181,393,-24,17,19
7461,3070,11130,2007,180,377,-5,13,16
7461,3070,11130,2008,173,372,-36,11,14
7461,3070,11130,2009,174,390,-23,13,20
7461,3070,11130,2010,173,401,-22,17,25
7461,3070,11130,2011,172,393,-34,11,19
7461,3070,11130,2012,169,383,-28,7,9
7461,3070,11130,2013,180,393,-44,17,20
7461,3073,11136,2014,164,383,-45,12,10
7461,3073,11136,2015,165,369,-28,15,17
7461,3073,11136,2016,168,383,-52,22,21
7461,3073,11136,2017,168,383,-11,14,21
7461,3073,11136,2018,168,372,-65,17,21
7461,3073,11136,2019,169,397,-22,20,22
7461,3073,11136,2020,165,362,-16,13,21
7447,3026,10936,1970,159,371,-43,7,9
7447,3026,10936,1971,164,403,-26,10,9
7447,3026,10936,1972,162,386,-65,9,12
7447,3026,10936,1973,165,368,-13,8,10
7447,3026,10936,1974,160,378,-33,9,11
7447,3026,10936,1975,164,384,-47,7,12
7447,3026,10936,1976,158,376,-25,7,11
7447,3026,10936,1977,161,378,-123,8,12
7447,3026,10936,1978,167,386,-22,12,13
7447,3026,10936,1979,166,370,-15,9,12
7447,3028,10946,1980,161,365,-36,13,18
7447,3028,10946,1981,162,376,-22,10,15
7447,3028,10946,1982,160,362,-31,18,19
7447,3028,10946,1983,163,356,-29,11,11
7447,3028,10946,1984,159,366,-31,7,10
7447,3028,10946,1985,161,370,-14,8,15
7447,3028,10946,1986,159,368,-13,12,15
7447,3028,10946,1987,161,349,-11,16,12
